Track Name,Album_Name,Song_Type,Artist Name(s),Language,Release Year,Mood,Genre_category,Duration (mins),Popularity,Stream Category,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Gamanisu ,Mungaru Male 2,Movie,Sonu Nigam;Jayanth Kaikini,Kannada,2018,Sad,Blues,4.79,45,Medium,Jhankar Music,0.422,0.41,-6.746,0.0293,0.733,0.00000185,0.0971,0.243,120.089
Katheyondu Helide ,Farewell,Movie,B. Ajaneesh Loknath,Kannada,2019,Romantic,Soul,3.78,0,Low,Divo TV Private Limited,0.505,0.651,-5.47,0.0747,0.726,0,0.228,0.447,169.984
Ninna Nodalentho ,Mussanje Maatu,Movie,Sonu Nigam;Shreya Ghoshal;Ram Narayan,Kannada,2017,Romantic,Soul,4.78,36,Low,Jhankar Music,0.655,0.732,-6.639,0.0655,0.28,0,0.166,0.674,80.978
Gaaliye ,Sanchari,Movie,Sonu Nigam;Shreya Ghoshal;V Nagendra Prasad,Kannada,2017,Calm,Acoustic,5.25,33,Low,Jhankar Music,0.701,0.775,-5.301,0.0369,0.453,0.00453,0.15,0.535,115.007
Mathadu Nee ,Tarak,Movie,Armaan Malik;Shreya Ghoshal,Kannada,2020,Romantic,Soul,3.87,0,Low,Lahari Music,0.644,0.613,-6.541,0.0339,0.526,0.0000482,0.357,0.51,113.965
Rangeride ,Vaasu Naan Pakka Commercial,Movie,Puneeth Rajkumar;C.R.Bobby,Kannada,2020,Happy,Pop,3.81,0,Low,Divo TV Private Limited,0.817,0.646,-5.495,0.0676,0.512,0.0000694,0.29,0.685,97.142
Ille Ile Ello ,Chirru,Movie,Sonu Nigam;Shreya Ghoshal;Ghouse Peer,Kannada,2017,Romantic,Soul,4.72,34,Low,Jhankar Music,0.453,0.769,-7.388,0.0898,0.0924,0.0000192,0.0969,0.758,78.274
Manasa Gange ,Payana,Movie,Sonu Nigam;V Nagendra Prasad,Kannada,2018,Romantic,Soul,5.12,41,Medium,Jhankar Music,0.636,0.711,-11.466,0.0581,0.678,0.0000299,0.134,0.921,88.041
Krishna Nee Begane Baaro ,Paris Pranaya,Movie,Shreya Ghoshal;Nagathihalli Chandrashekhar,Kannada,2016,Calm,Acoustic,5.71,33,Low,Mars Inc,0.368,0.531,-7.737,0.0341,0.519,0.00000312,0.728,0.479,94.019
Soul Of Dia ,Dia,Movie,Sanjith Hegde;Chinmayi,Kannada,2020,Sad,Blues,3.57,0,Low,Divo Tv Private Limited,0.559,0.645,-5.929,0.033,0.223,0.00000418,0.115,0.24,139.985
Ninadene Januma ,Love Mocktail 2,Movie,Nakul Abhyankar;Raghavendra Kamath,Kannada,2021,Romantic,Soul,4.77,56,Medium,Jhankar Music,0.268,0.358,-8.972,0.0316,0.65,0,0.158,0.288,136.707
Ee Prema ,Love Mocktail 2,Movie,Nakul Abhyankar;Ramya Bhat Abhyankar,Kannada,2021,Romantic,Soul,3.45,31,Low,Mars Films / Jhankar Music,0.509,0.628,-7.31,0.0833,0.182,0.0000416,0.356,0.281,137.547
Ide Swarga ,Love Mocktail 2,Movie,Nakul Abhyankar;Sanjith Hegde;Raghavendra Kamath,Kannada,2021,Romantic,Soul,4.71,44,Medium,Jhankar Music,0.382,0.551,-7.943,0.035,0.0667,0.00000171,0.0869,0.216,176.06
Navile ,Kalavida,Movie,S. P. Balasubrahmanyam;Hamsalekha,Kannada,2021,Romantic,Soul,5.27,43,Medium,Jhankar Music,0.542,0.726,-8.588,0.0661,0.595,0.000867,0.37,0.266,91.585
The Family Ballad ,Vikrant Rona,Movie,Harshika Devanath;B. Ajaneesh Loknath;Anup Bhandari,Kannada,2022,Calm,Acoustic,1.4,36,Low,T-Series,0.47,0.294,-14.64,0.0451,0.945,0.12,0.142,0.0526,120.185
Belakina Kavithe ,Banaras,Movie,Sanjith Hegde;Sangeetha Ravindranath,Kannada,2022,Romantic,Soul,3.62,0,Low,Lahari Music,0.45,0.457,-8.909,0.0516,0.652,0,0.296,0.325,157.513
Yaaro Kannalli ,Orata I Love You,Movie,Rajesh Krishnan;Nanditha;K Kalyan,Kannada,2018,Romantic,Soul,5.82,45,Medium,Jhankar Music,0.642,0.718,-9.151,0.0356,0.0307,0,0.21,0.812,125.047
Singara Siriye ,Kantara,Movie,B. Ajaneesh Loknath;Vijay Prakash;Ananya Bhat;Nagraj Panar Valtur;Pramod Maravanthe,Kannada,2022,Happy,Pop,4.7,47,Medium,Divo Tv Private Limited,0.641,0.668,-8.933,0.0909,0.462,0.0000063,0.0947,0.519,125.969
Mellage ,Swathi Mutthina Male Haniye,Movie,Madhuri Seshadri;Midhun Mukundan,Kannada,2023,Calm,Acoustic,4.63,0,Low,Aananda Audio Video,0.587,0.181,-14.214,0.0586,0.657,0,0.0547,0.315,134.836
Olave Olave ,Sapta Sagaradaache Ello - Side B,Movie,Charanraj MR;Suvarna Sharma;Srilakshmi Belmannu,Kannada,2023,Romantic,Soul,3.23,40,Medium,Paramvah Music,0.365,0.311,-12.047,0.036,0.698,0.0000044,0.0781,0.319,143.533
Usire ,Sapta Sagaradaache Ello - Side B,Movie,Charanraj MR;Dhananjay Ranjan;Sanjith Hegde,Kannada,2023,Romantic,Soul,4.44,41,Medium,Paramvah Music,0.628,0.647,-9.492,0.0411,0.222,0.00163,0.473,0.134,144.981
Kanmareya Kaade ,Sapta Sagaradaache Ello - Side A,Movie,Charanraj MR;Jayanth Kaikini;Shakthisree Gopalan;Narayan Sharma,Kannada,2023,Sad,Blues,4.05,0,Low,Paramvah Music,0.286,0.0949,-16.06,0.036,0.935,0.00401,0.0916,0.0652,74.638
Kaala Kaayiso Kade ,Sapta Sagaradaache Ello - Side A,Movie,Charanraj MR;Dhananjay Ranjan,Kannada,2023,Sad,Blues,4.84,0,Low,Paramvah Music,0.532,0.532,-11.876,0.0372,0.752,0.262,0.0836,0.168,104.983
Sapta Sagaradaache Ello - Side A Title Track ,Sapta Sagaradaache Ello - Side A,Movie,Charanraj MR;Dhananjay Ranjan;Kapil Kapilan,Kannada,2023,Calm,Acoustic,4.26,0,Low,Paramvah Music,0.541,0.571,-8.038,0.0325,0.208,0,0.0384,0.319,89.96
Kadalanu ,Sapta Sagaradaache Ello - Side A,Movie,Charanraj MR;Nagarjun Sharma;Srilakshmi Belmannu,Kannada,2023,Romantic,Soul,1.75,59,Medium,Paramvah Music,0.541,0.183,-12.844,0.0349,0.912,0,0.105,0.387,124.02
Preethisuve ,Kousalya Supraja Rama,Movie,Arjun Janya;Sonu Nigam;Prithwi Bhat,Kannada,2023,Romantic,Soul,3.97,54,Medium,Saregama India Ltd,0.682,0.773,-7.404,0.0433,0.574,0.00311,0.171,0.672,124.97
Oh Anahita ,Ibbani Tabbida Ileyali,Movie,Chandrajith Belliappa;Gagan Baderiya;Kapil Kapilan,Kannada,2024,Romantic,Soul,5.53,50,Medium,Paramvah Music,0.567,0.562,-7.578,0.0398,0.273,0,0.0948,0.338,104.986
Bonding Song ,777 Charlie - Kannada,Movie,Nobin Paul;Pancham Jeeva,Kannada,2022,Happy,Pop,4.47,0,Low,Paramvah Music,0.738,0.523,-7.386,0.0435,0.277,0,0.13,0.607,99.997
Taare Nihaare ,Ibbani Tabbida Ileyali,Movie,Gagan Baderiya;Nagarjun Sharma;Armaan Malik,Kannada,2024,Romantic,Soul,4.99,29,Low,Paramvah Music,0.488,0.46,-7.31,0.0323,0.76,0.000108,0.0893,0.149,100.049
Radhe ,Ibbani Tabbida Ileyali,Movie,Gagan Baderiya;Chandrajith Belliappa;Srilakshmi Belmannu,Kannada,2024,Romantic,Soul,4.75,40,Medium,Paramvah Music,0.515,0.44,-9.164,0.0338,0.709,0.0000071,0.0563,0.35,154.961
Sadaa Neene ,Ibbani Tabbida Ileyali,Movie,Gagan Baderiya;Nagarjun Sharma;Arun Kamath,Kannada,2024,Romantic,Soul,3.78,29,Low,Paramvah Music,0.556,0.747,-6.898,0.0419,0.0364,0,0.0869,0.187,130.014
Naa Ninage Kaavalugaara ,James - Kannada,Movie,Charanraj MR;Ankita Kundu;Sanjith Hegde;Chethan Kumar,Kannada,2022,Romantic,Soul,3.37,51,Medium,Divo Tv Private Limited,0.578,0.409,-9.038,0.0375,0.895,0.0000205,0.107,0.313,134.924
Mayavi ,Bhoomi 2024,Movie,Sonu Nigam;Sanjith Hegde;Nagarjun Sharma,Kannada,2024,Energetic,Dance,4.31,64,Medium,Merchant Records,0.68,0.529,-9.499,0.114,0.875,0.00158,0.103,0.546,95.893
Nenapina Hudugiye ,Hero,Movie,B. Ajaneesh Loknath;Yogaraj Bhat;Vijay Prakash,Kannada,2021,Romantic,Soul,3.03,41,Medium,Divo Tv Private Limited,0.565,0.474,-7.743,0.0411,0.673,0.00000703,0.0838,0.422,139.285
Scooter Song ,Su From So,Movie,Sumedh K;Pruthvi;Siddhartha Belmannu,Kannada,2025,Happy,Pop,3.79,45,Medium,Lighter Buddha Films,0.72,0.432,-11.215,0.0927,0.441,0.00123,0.112,0.66,139.997
Kesariya Rangu ,Brahmastra,Movie,Pritam;Sanjith Hegde;Sid Sriram,Kannada,2022,Romantic,Soul,4.64,54,Medium,Sony Music Entertainment India Pvt. Ltd.,0.555,0.596,-7.278,0.0298,0.665,0.0000105,0.108,0.352,94.2
Jiya Teri Jiya Meri ,Bajarangi,Movie,Jayant Kaikini;Karthik;Arjun Janya,Kannada,2025,Romantic,Soul,3.99,56,Medium,Aananda Audio Video,0.635,0.53,-8.56,0.0733,0.454,0,0.287,0.435,99.996
Alemaariye - The Soul Of Rathnakara,,Movie,Sanjith Hegde;B. Ajaneesh Loknath;Rohit Padaki,Kannada,2021,Calm,Acoustic,5.25,52,Medium,Lahari Music,0.439,0.463,-8.451,0.0379,0.117,0,0.106,0.426,75.009
Sanchariyagu Nee ,Love Mocktail 2,Movie,Nakul Abhyankar;Vijay Prakash;Rakshita Suresh;Raghavendra Kamath,Kannada,2021,Romantic,Soul,5.29,53,Medium,Jhankar Music,0.596,0.403,-8.85,0.0339,0.741,0,0.0963,0.267,124.863
O Nidhima ,Love Mocktail 2,Movie,Nakul Abhyankar;Rakshita Suresh;Raghavendra Kamath,Kannada,2022,Romantic,Soul,3.73,34,Low,Jhankar Music,0.612,0.508,-8.531,0.0314,0.547,0,0.154,0.308,126.003
Chaltha Chaltha ,Raja Huli,Movie,Sonu Nigam;Hamsalekha,Kannada,2017,Happy,Pop,4.06,39,Low,D Beats,0.627,0.642,-5.703,0.0285,0.293,0,0.243,0.56,102.985
Onde Ondu Sala ,The Devil,Movie,B. Ajaneesh Loknath;Kapil Kapilan;Chinmayi;Pramod Maravanthe,Kannada,2025,Romantic,Soul,3.93,49,Medium,Saregama India Ltd,0.619,0.846,-4.711,0.0564,0.507,0.00436,0.0817,0.518,133.793
Ayyo Sivane ,Cult,Movie,Arjun Janya;Jaskaran Singh;Prithwi Bhat;Anil Kumar,Kannada,2025,Energetic,Dance,4.74,54,Medium,Aananda Audio Video,0.539,0.846,-5.023,0.0462,0.635,0,0.0831,0.434,144.843
Kannale ,Ambareesha,Movie,Sonu Nigam;Shreya Ghoshal;V Nagendra Prasad,Kannada,2017,Romantic,Soul,4.56,40,Medium,D Beats,0.499,0.433,-8.441,0.0327,0.672,0,0.0956,0.53,100.469
Masth Malaika ,Mark,Movie,B. Ajaneesh Loknath;Nakash Aziz;Sanvi Sudeep;Anup Bhandari,Kannada,2025,Happy,Pop,3.23,63,Medium,Saregama India Ltd,0.771,0.876,-3.473,0.0845,0.0405,0.000427,0.125,0.471,140.044
Benki Song ,Graamaayana,Movie,Kapil Kapilan;Airaa Udupi;Poornachandra Tejaswi SV;Chi. Udayashankar,Kannada,2026,Energetic,Dance,3.49,52,Medium,Lahari Music,0.818,0.825,-4.832,0.036,0.196,0.0000186,0.306,0.929,140.025
Bangari Yare Nee Bul Bul ,Gharga,Movie,Nadeera Banu;Shri Hari;V Nagendra Prasad,Kannada,2026,Happy,Pop,3.15,52,Medium,Times Music,0.71,0.869,-8.186,0.0351,0.111,0.0444,0.0619,0.513,127.02
Bangle Bangari ,Ekka,Movie,Anthony Daasan;Charanraj MR;Nagarjun Sharma,Kannada,2025,Happy,Pop,4.4,63,Medium,Aananda Audio Video,0.646,0.747,-5.893,0.109,0.425,0,0.215,0.843,173.978
Brahmakalasha ,Kantara A Legend Chapter--1,Movie,B. Ajaneesh Loknath;Shasiraj Kavoor;Abby V,Kannada,2025,Energetic,Dance,5.73,58,Medium,Hombale Films,0.489,0.941,-5.372,0.329,0.323,0.00000225,0.282,0.543,160.027
Danks Anthem ,Su From So,Movie,Sumedh K;Raj B. Shetty;Anurag Kulkarni,Kannada,2025,Energetic,Dance,3.28,57,Medium,Lighter Buddha Films,0.646,0.858,-5.041,0.153,0.00224,0.02,0.0663,0.452,170.021
Psycho Saithan ,Mark,Movie,B. Ajaneesh Loknath;Vijay Prakash;Aniruddha Sastry;Anup Bhandari,Kannada,2025,Energetic,Dance,3.46,56,Medium,Saregama India Ltd,0.776,0.913,-5.475,0.308,0.569,0.00368,0.11,0.466,141.96
Naane Neenanthe ,BRAT,Movie,Arjun Janya;Shashank;Sid Sriram;Lahari Mahesh,Kannada,2025,Romantic,Soul,4.1,60,Medium,Aananda Audio Video,0.705,0.667,-6.231,0.0305,0.397,0,0.117,0.754,134.907
